,mdl,spr,hrpu,sdc,plk,run,age,height,weight,bmi,sex,ioct
1,300,10.5,38,93,72,814,22,73,182,24.19161685,Male,173
2,240,7.6,31,117,81,1057,22,61,143,25.47659054,Female,223
3,200,5.8,10,118,27,917,21,65,163,27.86537888,Female,249
4,300,9.2,43,93,144,915,22,67,186,28.18796924,Male,165
5,220,9.4,30,101,72,945,22,73,200,26.63796012,Male,179
6,300,12.6,30,163,90,1026,21,70,214,30.33865066,Male,189
7,300,9.2,44,106,117,792,22,68,163,24.37878421,Male,161
8,150,6.4,20,123,81,989,21,64,140,22.84566161,Female,183
9,260,6.8,37,100,135,925,22,71,168,23.34047336,Male,188
10,300,12.1,44,78,153,754,22,69,184,26.63693246,Male,143
11,160,6.8,8,130,60,1120,21,68,157,24.17024215,Female,269
12,200,6.3,24,118,90,931,23,68,138,20.87433398,Female,209
13,300,9.8,52,100,126,808,22,73,192,25.41478848,Male,168
14,170,4.6,12,138,60,951,23,66,143,23.67944488,Female,236
15,220,9.9,21,105,90,978,21,73,216,29.0843034,Male,191
16,200,7.8,23,109,36,1034,22,67,180,28.25093238,Male,198
17,150,5.8,12,114,108,888,21,70,154,21.56776113,Female,196
18,240,10,23,109,99,1009,21,67,205,31.38992487,Male,182
19,260,11.4,24,91,81,1003,23,73,215,28.42514087,Male,161
20,260,10.7,36,85,135,847,22,73,194,25.82251236,Male,182
21,220,8.4,35,105,60,1005,22,69,194,28.70869388,Male,197
22,300,9.3,44,92,108,748,22,68,168,25.59772342,Male,137
23,300,9.3,33,90,72,780,21,73,223,28.17672811,Male,165
24,240,8.3,41,117,90,942,22,68,175,27.30923463,Male,181
25,300,8.9,35,96,135,822,22,72,175,23.00453261,Male,166
26,150,6.5,17,118,54,891,22,67,170,25.89668802,Female,256
27,150,5.3,21,117,54,926,22,63,118,20.76895516,Female,191
28,260,9.8,35,90,90,879,22,73,222,30.17156708,Male,192
29,240,6.5,33,102,81,1073,22,68,164,24.26920513,Male,171
30,150,6.6,20,117,60,891,22,68,158,23.4645798,Female,231
31,220,6.6,40,100,117,891,21,73,202,26.04536163,Male,177
32,150,6.7,3,108,60,1013,22,66,166,25.73973839,Female,207
33,240,9.9,31,104,72,950,22,74,206,26.70641142,Male,182
34,260,9.5,29,94,90,849,21,71,190,26.41526626,Male,165
35,260,11,46,90,90,793,22,72,222,29.62793524,Male,167
36,240,7.8,23,97,81,853,22,73,192,25.41478848,Male,164
37,340,11.4,27,103,99,967,21,72,181,24.59834319,Male,179
38,260,9.8,31,92,90,914,22,71,206,27.31749992,Male,159
39,340,12.7,32,87,36,1027,23,72,270,36.69514915,Male,208
40,220,11.5,34,95,126,918,22,76,212,26.05257736,Male,149
41,340,10.3,34,100,99,869,22,69,172,25.90245822,Male,169
42,340,9.7,36,95,90,919,21,68,180,26.4889495,Male,169
43,260,8.6,34,105,108,1020,25,67,209,33.15704937,Male,188
44,260,10,33,93,126,995,22,70,189,26.88780888,Male,173
45,240,8,48,112,117,875,22,62,145,26.50807872,Male,152
46,260,7.4,30,114,63,1021,22,70,191,25.99597632,Male,205
47,300,10.8,24,113,54,825,22,77,211,24.83560373,Male,164
48,300,8.4,45,113,162,880,22,67,160,25.23170586,Male,148
49,340,12.2,47,86,99,840,22,74,205,26.37547609,Male,124
50,260,8.3,34,94,54,964,21,70,173,24.29967754,Male,157
51,300,9.6,23,96,60,843,22,75,206,25.0055587,Male,184
52,240,9,30,91,63,1096,22,67,168,27.17260631,Male,125
53,260,9.5,41,100,90,865,22,66,182,27.78008351,Male,172
54,260,8.6,56,97,90,904,22,68,177,26.99533539,Male,142
55,240,9.5,37,109,135,835,22,70,189,25.71644969,Male,176
56,200,9,32,106,90,974,23,72,178,23.40116248,Male,178
57,170,5.9,19,117,54,921,22,66,136,22.51214831,Female,217
58,300,11.8,20,87,117,1069,23,72,215,28.29293091,Male,181
59,300,9,41,101,117,948,22,71,198,26.77386808,Male,181
60,220,9.8,40,89,117,956,21,72,178,24.19161685,Male,152
61,220,9.9,18,94,90,898,22,75,180,22.77297204,Male,124
62,260,10.9,28,108,90,1000,21,68,174,26.68143614,Male,124
63,240,7.6,25,97,63,1006,22,71,197,27.60673425,Male,176
64,240,9.5,23,102,60,799,22,75,231,28.80813842,Male,194
65,280,10.6,33,97,90,922,21,72,198,25.78094172,Male,174
66,260,9.3,25,99,72,910,23,74,189,23.67359805,Male,149
67,260,8.5,34,110,63,1008,24,70,215,30.62622081,Male,189
68,240,9.8,35,83,81,753,23,69,196,28.264745,Male,189
69,260,9.3,41,93,54,840,22,69,162,23.14939695,Male,146
70,300,9.4,35,95,90,756,22,66,214,33.43026998,Male,125
71,170,5.3,14,130,60,959,21,67,157,23.8563429,Female,253
72,300,12.5,49,93,180,958,23,69,185,26.93289838,Male,176
73,340,12.3,50,93,225,856,21,68,162,25.11193989,Male,154
74,300,6.3,24,116,144,934,23,67,159,24.17024215,Male,179
75,340,11.5,41,92,153,900,22,71,242,32.88972627,Male,156
76,200,8.7,33,119,81,1020,22,65,159,25.84728139,Male,192
77,150,5.7,12,145,60,1136,22,69,138,20.41723178,Female,226
78,300,11.5,27,99,72,775,21,74,205,27.10304129,Male,161
79,170,7.3,14,122,27,939,23,67,165,24.68351901,Female,154
80,300,9.3,46,98,135,864,21,68,179,27.30923463,Male,149
81,160,6.7,11,113,60,969,21,67,167,24.68351901,Female,266
82,220,7.9,26,113,36,884,21,69,167,23.29318202,Male,191
83,340,12.6,42,89,162,898,25,68,200,31.23297524,Male,168
84,240,8.8,42,87,180,727,22,71,170,23.48023668,Male,155
85,240,10.8,26,93,117,854,22,72,188,25.55069644,Male,172
86,300,9.4,39,93,99,858,21,73,190,24.4455632,Male,167
87,300,9.5,52,94,117,819,21,67,172,25.75009082,Male,167
88,160,402,21,123,36,859,24,64,127,21.50106395,Female,212
89,160,6.2,17,130,60,1143,21,72,191,26.55502958,Female,292
90,300,10.6,47,88,180,763,24,70,186,27.52483021,Male,156
91,240,9.9,35,95,108,794,22,71,169,23.58075217,Male,153
92,300,11.4,40,76,135,973,21,72,194,27.11408283,Male,152
93,150,3.4,10,177,27,1043,24,60,110,21.85896618,Female,244
94,200,8.6,38,97,198,904,21,68,157,24.17024215,Male,172
95,340,12,45,88,90,853,21,74,214,27.76409108,Male,153
96,140,8.3,16,110,9,1048,21,68,201,30.32111286,Female,263
97,240,10.2,32,96,99,826,22,72,185,25.0070646,Male,165
98,260,8,46,89,180,819,21,66,155,24.17024215,Male,145
99,260,9,35,101,90,875,21,70,188,26.7440238,Male,183
100,200,9.4,27,115,90,1035,22,72,201,27.045684,Male,182
101,300,9.8,36,85,108,797,22,74,176,22.60790274,Male,155
102,300,8.3,41,99,144,954,22,68,154,22.49340964,Male,124
103,220,7.4,23,106,54,910,22,65,165,25.87867268,Female,276
104,160,3.9,20,150,45,1143,22,66,142,23.01241827,Female,267
105,300,12.1,28,88,18,965,22,72,239,31.06934002,Male,177
106,300,11.1,33,99,63,779,26,74,188,22.92125796,Male,152
107,160,5.3,18,141,27,1088,22,64,128,21.32905544,Female,182
108,340,12.2,46,81,153,813,21,73,211,28.13294768,Male,146
109,300,10.4,37,94,63,887,21,69,191,27.3191641,Male,157
110,340,12.2,52,92,99,798,22,73,192,25.95842032,Male,168
111,200,8.7,34,104,90,997,23,71,153,21.38378697,Male,164
112,180,4.8,14,132,27,967,22,64,123,21.65651735,Female,234
113,300,11.4,37,87,135,764,24,73,210,28.26885564,Male,151
114,260,8.4,43,100,108,926,22,74,194,25.5165218,Male,172
115,260,8.7,40,103,108,972,22,72,178,24.31881656,Male,163
116,280,11.5,32,100,108,910,21,75,184,22.92125796,Male,188
117,300,10.6,38,91,36,734,22,73,198,26.50205216,Male,151
118,220,8.8,33,111,108,950,22,68,150,23.54244365,Male,192
119,240,9.1,35,119,63,913,22,70,164,23.52929034,Male,173
120,220,8.6,27,100,90,905,21,66,173,26.52448651,Male,171
121,170,4.7,25,108,117,813,22,68,146,21.94090579,Female,198
122,260,9.5,45,88,135,913,22,70,169,24.86113697,Male,149
123,340,14.2,31,84,135,863,24,78,209,23.73966257,Male,174
124,240,10.5,26,93,18,987,23,71,221,30.18887573,Male,187
125,300,10.5,46,100,144,863,22,71,185,24.73524868,Male,123
126,300,10.4,30,92,54,907,22,73,198,25.64873176,Male,157
127,260,7.6,29,113,72,876,23,71,206,29.04458499,Male,171
128,300,8.4,44,96,90,918,23,72,224,29.08619066,Male,181
129,260,10.4,45,101,90,877,22,68,179,26.34096655,Male,179
130,300,11.2,29,90,36,889,22,71,205,27.31749992,Male,181
131,260,10.6,34,90,90,963,22,73,198,26.50205216,Male,155
132,260,10.5,26,102,108,1072,21,68,180,26.63693246,Male,169
133,340,7.8,35,110,135,937,21,68,175,25.4530688,Male,181
134,340,10.3,35,93,90,900,21,72,201,27.39360946,Male,148
135,240,8.6,23,102,81,1030,22,70,182,25.73752828,Male,198
136,260,8.9,40,99,117,880,21,66,184,29.27524847,Male,225
137,240,9.6,37,89,126,695,21,70,163,23.4369671,Male,146
138,340,11.7,33,98,180,891,22,70,180,25.59374321,Male,162
139,260,9.7,22,90,99,791,21,71,168,23.4369671,Male,154
140,160,6.5,20,110,60,847,22,68,172,25.30508584,Female,277
141,260,8.7,40,103,180,1011,22,73,202,26.77386808,Male,162
142,340,12.4,50,83,144,857,22,72,188,24.85547201,Male,155
143,260,11.6,44,88,99,908,22,68,171,25.75009082,Male,154
144,240,9.5,32,102,81,878,22,69,163,24.53115161,Male,176
145,300,12.2,46,95,144,889,22,72,200,27.18159196,Male,161
146,150,5.6,2,121,60,869,21,73,188,25.55069644,Female,175
147,200,6.9,31,97,135,812,21,66,166,26.36389779,Male,155
148,300,9.3,27,97,90,989,22,69,182,25.88131336,Male,168
149,220,8.8,28,100,45,830,22,74,194,25.25210189,Male,164
150,300,9,57,95,180,752,22,68,161,25.26888952,Male,155
151,240,9.6,29,122,27,1069,21,72,221,29.49202728,Male,201
152,300,8.7,41,102,162,841,22,72,202,28.09242602,Male,189
153,340,11.6,40,87,135,1080,22,73,199,26.3661442,Male,173
154,160,5.6,10,112,36,1042,21,65,140,23.17917492,Female,196
155,340,9.1,47,95,180,803,22,76,183,22.92125796,Male,123
156,260,13.7,25,85,162,897,21,81,225,24.65914023,Male,158
157,240,7.6,41,100,99,842,22,69,157,22.57425665,Male,148
158,340,9.5,37,89,90,915,22,70,182,24.87786981,Male,167
159,200,5.7,32,122,189,908,21,61,125,22.54403336,Female,182
160,160,6.6,25,135,27,958,22,69,134,19.23778456,Female,196
161,240,9.7,40,107,135,806,21,66,151,24.42299734,Male,157
162,160,6,13,152,54,994,21,70,127,17.74994082,Female,263
163,300,8.7,33,88,126,972,23,72,189,24.45884214,Male,183
164,150,3.6,18,129,60,996,22,67,190,29.34957975,Female,263
165,300,10.7,51,84,162,882,23,68,174,27.15228501,Male,162
166,260,7.7,36,106,153,830,26,66,165,25.87867268,Female,125
167,240,10.1,48,97,117,918,26,68,165,25.89668802,Male,192
168,300,11.1,36,88,99,874,22,74,227,27.93136899,Male,163
